Label	Parent	Alternative Term	IEDB Term	Domain	In Taxon
Laminin alpha 5 (Homo sapiens)	protein	LAMA5|laminin subunit alpha-5	Laminin alpha 5	protein	Homo sapiens
Large envelope protein (Duck hepatitis B virus)	protein	L glycoprotein|L-HBsAg|LHB|Large S protein|Large surface protein|Major surface antigen	Large envelope protein	protein	Duck hepatitis B virus
Large envelope protein (Hepatitis B virus)	protein	L glycoprotein|L-HBsAg|LHB|Large S protein|Large surface protein|Major surface antigen	Large envelope protein	protein	Hepatitis B virus
Large envelope protein (Woodchuck hepatitis virus 7)	protein	L glycoprotein|L-HBsAg|LHB|Large S protein|Large surface protein|Major surface antigen	Large envelope protein	protein	Woodchuck hepatitis virus 7
large hepatitis delta antigen (Hepatitis delta virus)	protein	L-HDAg	large hepatitis delta antigen	protein	Hepatitis delta virus
large S protein (Hepatitis B virus)	protein		large S protein	protein	Hepatitis B virus
Large structural phosphoprotein (Human betaherpesvirus 5)	protein	150 kDa matrix phosphoprotein|BPP|Basic phosphoprotein|Tegument protein UL32|pp150	Large structural phosphoprotein	protein	Human betaherpesvirus 5
large subunit ribosomal protein 23 (Plasmodium berghei)	protein		large subunit ribosomal protein 23	protein	Plasmodium berghei
Large T antigen (Macaca mulatta polyomavirus 1)	protein	LT|LT-AG	Large T antigen	protein	Macaca mulatta polyomavirus 1
Late transcription factor 1 (Vaccinia virus)	protein	Trans-activator protein GK1|VLTF-1	Late transcription factor 1	protein	Vaccinia virus
Latent membrane protein 1 (Human gammaherpesvirus 4)	protein	LMP-1|Protein p63	Latent membrane protein 1	protein	Human gammaherpesvirus 4
Latent membrane protein 2 (Human gammaherpesvirus 4)	protein	Terminal protein	Latent membrane protein 2	protein	Human gammaherpesvirus 4
Leishmanolysin (Leishmania major)	protein	Cell surface protease|Major surface glycoprotein|Major surface protease|Promastigote surface endopeptidase|Protein gp63	Leishmanolysin	protein	Leishmania major
LemA family protein (Coxiella burnetii)	protein	LemA	LemA family protein	protein	Coxiella burnetii
LIM domain-binding protein (Mus musculus)	protein		LIM domain-binding protein	protein	Mus musculus
Lipopolysaccharide cholinephosphotransferase LicD (Haemophilus influenzae)	protein		Lipopolysaccharide cholinephosphotransferase LicD	protein	Haemophilus influenzae
Lipoprotein LpqH (Mycobacterium tuberculosis variant bovis)	protein	19 kDa lipoprotein antigen	Lipoprotein LpqH	protein	Mycobacterium tuberculosis variant bovis
Lipoprotein LpqH (Mycobacterium tuberculosis)	protein	19 kDa lipoprotein antigen	Lipoprotein LpqH	protein	Mycobacterium tuberculosis
lipoxygenase homology domain-containing protein 1 (Homo sapiens)	protein		lipoxygenase homology domain-containing protein 1	protein	Homo sapiens
Listeriolysin O (Listeria monocytogenes)	protein	LLO|Thiol-activated cytolysin	Listeriolysin O	protein	Listeria monocytogenes
Liver stage associated protein 2 (Plasmodium falciparum)	protein	LSAP2	Liver stage associated protein 2	protein	Plasmodium falciparum
LMP2 (Human gammaherpesvirus 4)	protein	latent membrane protein 2	LMP2	protein	Human gammaherpesvirus 4
Long-chain-fatty-acid--AMP ligase FadD32 (Mycobacterium tuberculosis)	protein	Acyl-AMP synthetase|FAAL	Long-chain-fatty-acid--AMP ligase FadD32	protein	Mycobacterium tuberculosis
Low-density lipoprotein receptor (Homo sapiens)	protein	LDL receptor	Low-density lipoprotein receptor	protein	Homo sapiens
LSA1 (Plasmodium falciparum)	protein	LSA-1; Liver Stage Antigen 1	LSA1	protein	Plasmodium falciparum
lupus La protein (Homo sapiens)	protein		lupus La protein	protein	Homo sapiens
lutropin-choriogonadotropic hormone receptor precursor (Homo sapiens)	protein		lutropin-choriogonadotropic hormone receptor precursor	protein	Homo sapiens
lyase allergen (Dermatophagoides)	protein		lyase allergen	protein	Dermatophagoides
Lyc e 2.0101 (Solanum lycopersicum)	protein		Lyc e 2.0101	protein	Solanum lycopersicum
lymphocyte cytosolic protein 2 (Homo sapiens)	protein		lymphocyte cytosolic protein 2	protein	Homo sapiens
lymphoid-restricted membrane protein (Homo sapiens)	protein		lymphoid-restricted membrane protein	protein	Homo sapiens
lymphotoxin-beta isoform a (Homo sapiens)	protein		lymphotoxin-beta isoform a	protein	Homo sapiens
Lysine tRNA ligase (Homo sapiens)	protein		Lysine tRNA ligase	protein	Homo sapiens
lysine-specific demethylase 5D (Canis lupus familiaris)	protein		lysine-specific demethylase 5D	protein	Canis lupus familiaris
Lysosomal-associated transmembrane protein 5 (Homo sapiens)	protein	Lysosomal-associated multitransmembrane protein 5|Retinoic acid-inducible E3 protein	Lysosomal-associated transmembrane protein 5	protein	Homo sapiens
Lysosome membrane protein 2 (Mus musculus)	protein	85 kDa lysosomal membrane sialoglycoprotein|LGP85|LIMP II|Lysosome membrane protein II|Scavenger receptor class B member 2	Lysosome membrane protein 2	protein	Mus musculus
Lysozyme C (Gallus gallus)	protein	1,4-beta-N-acetylmuramidase C|Allergen Gal d IV	Lysozyme C	protein	Gallus gallus
Lysozyme C-2 (Mus musculus)	protein	1,4-beta-N-acetylmuramidase C|Lysozyme C type M	Lysozyme C-2	protein	Mus musculus
lysyl-tRNA synthetase (Coxiella burnetii)	protein		lysyl-tRNA synthetase	protein	Coxiella burnetii
LytFM (Dermatophagoides pteronyssinus)	protein		LytFM	protein	Dermatophagoides pteronyssinus
M protein (Streptococcus pyogenes)	protein	M protein, serotype 5	M protein	protein	Streptococcus pyogenes
M5 (Streptococcus pyogenes)	protein		M5	protein	Streptococcus pyogenes
MA16 (Eimeria acervulina)	protein	125-kDa beta-galactosidase	MA16	protein	Eimeria acervulina
Macrophage migration inhibitory factor (Homo sapiens)	protein	GIF|Glycosylation-inhibiting factor|L-dopachrome isomerase|L-dopachrome tautomerase|Phenylpyruvate tautomerase	Macrophage migration inhibitory factor	protein	Homo sapiens
Mag44 (Dermatophagoides farinae)	protein		Mag44	protein	Dermatophagoides farinae
Major allergen Alt a 1 (Alternaria alternata)	protein		Major allergen Alt a 1	protein	Alternaria alternata
Major allergen Ani s 1 (Anisakis simplex)	protein	Ani s 1	Major allergen Ani s 1	protein	Anisakis simplex
Major allergen I polypeptide chain 1 (Felis catus)	protein	AG4|Allergen Cat-1|Allergen FdI|Allergen Fel d I-A|Allergen Fel dI	Major allergen I polypeptide chain 1	protein	Felis catus
Major allergen I polypeptide chain 2 (Felis catus)	protein	Fel d 1	Major allergen I polypeptide chain 2	protein	Felis catus
Major allergen Mal d 1 (Malus domestica)	protein	Allergen Mal d I	Major allergen Mal d 1	protein	Malus domestica
Major capsid protein (African swine fever virus)	protein	MCP|p72	Major capsid protein	protein	African swine fever virus
Major capsid protein (Human gammaherpesvirus 8)	protein	MCP	Major capsid protein	protein	Human gammaherpesvirus 8
Major capsid protein L1 (Human papillomavirus type 16)	protein		Major capsid protein L1	protein	Human papillomavirus type 16
Major capsid protein L1 (Human papillomavirus type 18)	protein		Major capsid protein L1	protein	Human papillomavirus type 18
Major capsid protein L1 (Human papillomavirus type 6b)	protein		Major capsid protein L1	protein	Human papillomavirus type 6b
Major capsid protein L1 (Human papillomavirus)	protein		Major capsid protein L1	protein	Human papillomavirus
Major capsid protein VP1 (JC polyomavirus)	protein	Major structural protein VP1	Major capsid protein VP1	protein	JC polyomavirus
Major core protein 4a precursor (Vaccinia virus)	protein	Virion core protein 4a precursor|p4a	Major core protein 4a precursor	protein	Vaccinia virus
major DNA binding protein (Bovine alphaherpesvirus 1)	protein	ICP 8|UL29|ssDNA binding protein	major DNA binding protein	protein	Bovine alphaherpesvirus 1
Major fimbrial subunit protein type-1 (Porphyromonas gingivalis)	protein	Fimbrilin|Fimbrillin|Major fimbrial subunit protein type I	Major fimbrial subunit protein type-1	protein	Porphyromonas gingivalis
major outer envelope glycoprotein gp220 (Human gammaherpesvirus 4)	protein		major outer envelope glycoprotein gp220	protein	Human gammaherpesvirus 4
Major outer membrane porin, serovar D (Chlamydia trachomatis)	protein	MOMP	Major outer membrane porin, serovar D	protein	Chlamydia trachomatis
Major outer membrane protein P.IA (Neisseria meningitidis)	protein	Class 1 protein|PIA|Protein IA	Major outer membrane protein P.IA	protein	Neisseria meningitidis
Major Peanut Allergen Ara H 1 (Arachis hypogaea)	protein	conarachin|seed storage protein Ara h1	Major Peanut Allergen Ara H 1	protein	Arachis hypogaea
Major Peanut Allergen Ara H 2 (Arachis hypogaea)	protein	ara h2|ara-h2	Major Peanut Allergen Ara H 2	protein	Arachis hypogaea
Major Peanut Allergen Ara H 6 (Arachis hypogaea)	protein	Conglutin	Major Peanut Allergen Ara H 6	protein	Arachis hypogaea
Major pollen allergen Bet v 1-A (Betula pendula)	protein	Allergen Bet v I-A	Major pollen allergen Bet v 1-A	protein	Betula pendula
Major pollen allergen Cha o 1 (Chamaecyparis obtusa)	protein		Major pollen allergen Cha o 1	protein	Chamaecyparis obtusa
major pollen allergen Cha o 2 (Chamaecyparis obtusa)	protein	Cha o 2|Pectinase|Polygalacturonase	major pollen allergen Cha o 2	protein	Chamaecyparis obtusa
Major pollen allergen Cor a 1 isoforms 5, 6, 11 and 16 (Corylus avellana)	protein	Allergen Cor a I	Major pollen allergen Cor a 1 isoforms 5, 6, 11 and 16	protein	Corylus avellana
Major pollen allergen Cyn d 1 (Cynodon dactylon)	protein		Major pollen allergen Cyn d 1	protein	Cynodon dactylon
major prion protein (Mesocricetus auratus)	protein	prion	major prion protein	protein	Mesocricetus auratus
Major prion protein (Mus musculus)	protein	PrP|PrP27-30|PrP33-35C	Major prion protein	protein	Mus musculus
major prion protein precursor (Ovis aries)	protein	Gerstmann-Strausler-Scheinker syndrome|fatal familial insomnia)|major prion protein|prion protein (p27-30) (Creutzfeldt-Jakob disease	major prion protein precursor	protein	Ovis aries
major structural glycoprotein GP5 (Lactate dehydrogenase-elevating virus)	protein		major structural glycoprotein GP5	protein	Lactate dehydrogenase-elevating virus
Major surface glycoprotein G (Human respiratory syncytial virus A)	protein		Major surface glycoprotein G	protein	Human respiratory syncytial virus A
Major surface glycoprotein G (Human orthopneumovirus)	protein	Attachment glycoprotein G|Membrane-bound glycoprotein|mG	Major surface glycoprotein G	protein	Human orthopneumovirus
Major surface protein 2 (MSP2) (Anaplasma marginale)	protein		Major surface protein 2 (MSP2)	protein	Anaplasma marginale
Major vault protein (Homo sapiens)	protein	Lung resistance-related protein	Major vault protein	protein	Homo sapiens
Major viral transcription factor ICP4 homolog (Human alphaherpesvirus 3)	protein	IE62|Immediate-early protein 62	Major viral transcription factor ICP4 homolog	protein	Human alphaherpesvirus 3
matrix protein (Avian avulavirus 1)	protein		matrix protein	protein	Avian avulavirus 1
Matrix protein (Measles morbillivirus)	protein		Matrix protein	protein	Measles morbillivirus
Matrix protein 1 (Influenza A virus)	protein	M1	Matrix protein 1	protein	Influenza A virus
Matrix protein 2 (Influenza A virus)	protein	Proton channel protein M2	Matrix protein 2	protein	Influenza A virus
Matrix protein VP40 (Ebola virus)	protein	Membrane-associated protein VP40	Matrix protein VP40	protein	Ebola virus
mCG15018 (Mus musculus)	protein		mCG15018	protein	Mus musculus
melanocortin 1 receptor (Homo sapiens)	protein		melanocortin 1 receptor	protein	Homo sapiens
Melanocortin receptor 3 (Homo sapiens)	protein	MC3-R	Melanocortin receptor 3	protein	Homo sapiens
Melanoma antigen preferentially expressed in tumors (Homo sapiens)	protein	OIP-4|Opa-interacting protein 4|Preferentially expressed antigen of melanoma	Melanoma antigen preferentially expressed in tumors	protein	Homo sapiens
melanoma associated antigen (Homo sapiens)	protein		melanoma associated antigen	protein	Homo sapiens
Melanoma-associated antigen 3 (Homo sapiens)	protein	Antigen MZ2-D|CT1.3|Cancer/testis antigen 1.3|MAGE-3 antigen	Melanoma-associated antigen 3	protein	Homo sapiens
Melatonin receptor type 1A (Mesocricetus auratus)	protein	Mel-1A-R|Mel1a receptor	Melatonin receptor type 1A	protein	Mesocricetus auratus
membrane glycoprotein UL40 (Human betaherpesvirus 5)	protein	UL40	membrane glycoprotein UL40	protein	Human betaherpesvirus 5
Membrane protein (Severe acute respiratory syndrome-related coronavirus)	protein	E1 glycoprotein|M protein|Matrix glycoprotein|Membrane glycoprotein	Membrane protein	protein	Severe acute respiratory syndrome-related coronavirus
membrane protein A (Borreliella burgdorferi)	protein		membrane protein A	protein	Borreliella burgdorferi
Membrane protein, putative (Coxiella burnetii)	protein		Membrane protein, putative	protein	Coxiella burnetii
membrane-spanning 4-domains, subfamily A, member 1 (Homo sapiens)	protein	CD20	membrane-spanning 4-domains, subfamily A, member 1	protein	Homo sapiens
meningioma-expressed antigen 5s (Homo sapiens)	protein		meningioma-expressed antigen 5s	protein	Homo sapiens
Merozoite surface antigen 2 (Plasmodium falciparum)	protein	45 kDa merozoite surface antigen|MSA-2	Merozoite surface antigen 2	protein	Plasmodium falciparum
Merozoite surface protein 1 (Plasmodium falciparum)	protein		Merozoite surface protein 1	protein	Plasmodium falciparum
Merozoite surface protein 1 (Plasmodium yoelii)	protein	230 kDa merozoite surface antigen|Merozoite surface antigens|PMMSA|Py230	Merozoite surface protein 1	protein	Plasmodium yoelii
Merozoite surface protein 3 alpha (MSP3a) (Plasmodium vivax)	protein		Merozoite surface protein 3 alpha (MSP3a)	protein	Plasmodium vivax
MerR family transcriptional regulator (Mycobacterium tuberculosis variant bovis)	protein		MerR family transcriptional regulator	protein	Mycobacterium tuberculosis variant bovis
metacaspase 1 (Plasmodium berghei)	protein		metacaspase 1	protein	Plasmodium berghei
metalloproteinase inhibitor 3 precursor (Gallus gallus)	protein		metalloproteinase inhibitor 3 precursor	protein	Gallus gallus
methionine tRNA ligase (Mycobacterium tuberculosis variant bovis)	protein	methionine-tRNA	methionine tRNA ligase	protein	Mycobacterium tuberculosis variant bovis
MF6p ortholog protein (Paragonimus westermani)	protein		MF6p ortholog protein	protein	Paragonimus westermani
MHC class I antigen (Homo sapiens)	protein		MHC class I antigen	protein	Homo sapiens
MHC class I antigen B-F21 (Gallus gallus)	protein		MHC class I antigen B-F21	protein	Gallus gallus
MHC class I RT1.Au (Rattus norvegicus)	protein		MHC class I RT1.Au	protein	Rattus norvegicus
MHC class II antigen (Homo sapiens)	protein		MHC class II antigen	protein	Homo sapiens
MHC class II antigen A beta (Mus musculus)	protein		MHC class II antigen A beta	protein	Mus musculus
MHC Class II RT1.Du (Rattus norvegicus)	protein	RT1-Du	MHC Class II RT1.Du	protein	Rattus norvegicus
MHC HLA-DR gamma chain (Homo sapiens)	protein	CD74 antigen isoform b	MHC HLA-DR gamma chain	protein	Homo sapiens
microtubule-associated protein 1A (Homo sapiens)	protein	microtubule associated protein 1A	microtubule-associated protein 1A	protein	Homo sapiens
Microtubule-associated protein 1B (Mus musculus)	protein	Mtap1b protein	Microtubule-associated protein 1B	protein	Mus musculus
minor histocompatibility antigen H7 (Mus musculus)	protein		minor histocompatibility antigen H7	protein	Mus musculus
minor histocompatibility protein HB-1 (Homo sapiens)	protein	HMHB1	minor histocompatibility protein HB-1	protein	Homo sapiens
Minor nucleoprotein VP30 (Ebola virus)	protein	Transcription activator VP30	Minor nucleoprotein VP30	protein	Ebola virus
Mite group 2 allergen Der p 2 (Dermatophagoides pteronyssinus)	protein	Allergen Der p II|DPX	Mite group 2 allergen Der p 2	protein	Dermatophagoides pteronyssinus
Mite group 6 allergen Der p 6 (Dermatophagoides pteronyssinus)	protein		Mite group 6 allergen Der p 6	protein	Dermatophagoides pteronyssinus
Mitochondrial folate transporter/carrier (Homo sapiens)	protein	Solute carrier family 25 member 32	Mitochondrial folate transporter/carrier	protein	Homo sapiens
Mitochondrial import inner membrane translocase subunit TIM14 (Homo sapiens)	protein	DnaJ homolog subfamily C member 19	Mitochondrial import inner membrane translocase subunit TIM14	protein	Homo sapiens
mitochondrial import receptor Tom22 variant (Homo sapiens)	protein		mitochondrial import receptor Tom22 variant	protein	Homo sapiens
mitochondrial ribosomal protein L20 (Homo sapiens)	protein		mitochondrial ribosomal protein L20	protein	Homo sapiens
Mitogen-activated protein kinase kinase kinase kinase 1 (Homo sapiens)	protein	Hematopoietic progenitor kinase|MAPK/ERK kinase kinase kinase 1|MEK kinase kinase 1|MEKKK 1	Mitogen-activated protein kinase kinase kinase kinase 1	protein	Homo sapiens
mKIAA0120 protein (Mus musculus)	protein	SCP1	mKIAA0120 protein	protein	Mus musculus
MMP24 protein (Homo sapiens)	protein		MMP24 protein	protein	Homo sapiens
monocarboxylate transporter 1 (Mus musculus)	protein		monocarboxylate transporter 1	protein	Mus musculus
MPT51/MPB51 antigen (Mycobacterium tuberculosis)	protein		MPT51/MPB51 antigen	protein	Mycobacterium tuberculosis
mRNA export factor ICP27 homolog (Human gammaherpesvirus 8)	protein	EB2 protein homolog	mRNA export factor ICP27 homolog	protein	Human gammaherpesvirus 8
mRNA-capping enzyme catalytic subunit (Vaccinia virus)	protein	VTF large subunit|Virus termination factor large subunit|mRNA-capping enzyme 97 kDa subunit|mRNA-capping enzyme D1 subunit|mRNA-capping enzyme large subunit	mRNA-capping enzyme catalytic subunit	protein	Vaccinia virus
mucin-associated surface protein (Trypanosoma cruzi)	protein	MASP	mucin-associated surface protein	protein	Trypanosoma cruzi
multidrug resistance protein (Mus musculus)	protein		multidrug resistance protein	protein	Mus musculus
Muscarinic acetylcholine receptor M2 (Homo sapiens)	protein		Muscarinic acetylcholine receptor M2	protein	Homo sapiens
Muscarinic acetylcholine receptor M3 (Homo sapiens)	protein		Muscarinic acetylcholine receptor M3	protein	Homo sapiens
muscle specific protein (Dermatophagoides)	protein		muscle specific protein	protein	Dermatophagoides
Myc proto-oncogene protein (Homo sapiens)	protein	Class E basic helix-loop-helix protein 39|Proto-oncogene c-Myc|Transcription factor p64|bHLHe39	Myc proto-oncogene protein	protein	Homo sapiens
MYCBP2 (Homo sapiens)	protein		MYCBP2	protein	Homo sapiens
Mycobacterium tuberculosis proteins (reference genome GI: 135) (Mycobacterium tuberculosis)	protein		Mycobacterium tuberculosis proteins (reference genome GI: 135)	protein	Mycobacterium tuberculosis
mycocerosic acid synthase (Mycobacterium avium)	protein		mycocerosic acid synthase	protein	Mycobacterium avium
myelin basic protein (Balaenoptera physalus)	protein	MBP	myelin basic protein	protein	Balaenoptera physalus
Myelin basic protein (Cavia porcellus)	protein		Myelin basic protein	protein	Cavia porcellus
myelin basic protein (Dasyuroides byrnei)	protein	MBP	myelin basic protein	protein	Dasyuroides byrnei
Myelin basic protein (Homo sapiens)	protein	Myelin A1 protein|Myelin membrane encephalitogenic protein	Myelin basic protein	protein	Homo sapiens
Myelin basic protein (Mus musculus)	protein	MBP|Myelin A1 protein	Myelin basic protein	protein	Mus musculus
Myelin basic protein (Notamacropus eugenii)	protein	MBP	Myelin basic protein	protein	Notamacropus eugenii
myelin basic protein (Physeter catodon)	protein	MBP	myelin basic protein	protein	Physeter catodon
Myelin basic protein (Rattus norvegicus)	protein	MBP	Myelin basic protein	protein	Rattus norvegicus
myelin basic protein (Tamiasciurus hudsonicus)	protein	MBP	myelin basic protein	protein	Tamiasciurus hudsonicus
Myelin basic protein (MBP) (Platyrrhini)	protein	MBP	Myelin basic protein (MBP)	protein	Platyrrhini
Myelin protein P0 (Bos taurus)	protein	MPP|Myelin peripheral protein|Myelin protein zero	Myelin protein P0	protein	Bos taurus
Myelin protein P0 (Rattus norvegicus)	protein	MPP|Myelin peripheral protein|Myelin protein zero	Myelin protein P0	protein	Rattus norvegicus
Myelin proteolipid protein (Homo sapiens)	protein	Lipophilin|PLP	Myelin proteolipid protein	protein	Homo sapiens
Myelin proteolipid protein (Mus musculus)	protein	Lipophilin|PLP	Myelin proteolipid protein	protein	Mus musculus
Myelin proteolipid protein (Rattus norvegicus)	protein	Lipophilin|PLP	Myelin proteolipid protein	protein	Rattus norvegicus
Myelin-associated glycoprotein (Homo sapiens)	protein	Siglec-4a	Myelin-associated glycoprotein	protein	Homo sapiens
Myelin-associated oligodendrocyte basic protein (Mus musculus)	protein		Myelin-associated oligodendrocyte basic protein	protein	Mus musculus
Myelin-associated oligodendrocyte basic protein (Rattus norvegicus)	protein		Myelin-associated oligodendrocyte basic protein	protein	Rattus norvegicus
Myelin-oligodendrocyte glycoprotein (Mus musculus)	protein		Myelin-oligodendrocyte glycoprotein	protein	Mus musculus
Myeloperoxidase (Homo sapiens)	protein	MPO	Myeloperoxidase	protein	Homo sapiens
Myoglobin (Inia geoffrensis)	protein		Myoglobin	protein	Inia geoffrensis
Myoglobin (Orcinus orca)	protein		Myoglobin	protein	Orcinus orca
Myoglobin (Physeter catodon)	protein		Myoglobin	protein	Physeter catodon
myosin (Dermatophagoides)	protein		myosin	protein	Dermatophagoides
myosin IG (Pan troglodytes)	protein		myosin IG	protein	Pan troglodytes
myosin phosphatase Rho-interacting protein (Mus musculus)	protein		myosin phosphatase Rho-interacting protein	protein	Mus musculus
Myosin-6 (Mus musculus)	protein	MyHC-alpha|Myosin heavy chain|Myosin heavy chain 6|cardiac muscle alpha isoform	Myosin-6	protein	Mus musculus
Myosin-6 (Rattus norvegicus)	protein	MyHC-alpha|Myosin heavy chain|Myosin heavy chain 6|cardiac muscle alpha isoform	Myosin-6	protein	Rattus norvegicus
myosin-7 (Mus musculus)	protein	myosin 7	myosin-7	protein	Mus musculus
myosin-9 (Homo sapiens)	protein	myosin 9	myosin-9	protein	Homo sapiens
Myosin-binding protein C, fast-type (Homo sapiens)	protein	C-protein|Fast MyBP-C|skeletal muscle fast isoform	Myosin-binding protein C, fast-type	protein	Homo sapiens
Myristoylated protein G9 (Vaccinia virus)	protein	Protein F1	Myristoylated protein G9	protein	Vaccinia virus
NACHT and WD repeat domain-containing protein 2 (Rattus norvegicus)	protein	Nwd2	NACHT and WD repeat domain-containing protein 2	protein	Rattus norvegicus
NAD-glutamate dehydrogenase (Coxiella burnetii)	protein		NAD-glutamate dehydrogenase	protein	Coxiella burnetii
NADH dehydrogenase 4 (Homo sapiens)	protein		NADH dehydrogenase 4	protein	Homo sapiens
NCK-associated protein 1-like (Homo sapiens)	protein		NCK-associated protein 1-like	protein	Homo sapiens
NCRA1 (Blattella germanica)	protein		NCRA1	protein	Blattella germanica
NCRA10 (Blattella germanica)	protein		NCRA10	protein	Blattella germanica
NCRA11 (Blattella germanica)	protein		NCRA11	protein	Blattella germanica
NCRA12 (Blattella germanica)	protein		NCRA12	protein	Blattella germanica
NCRA13 (Blattella germanica)	protein		NCRA13	protein	Blattella germanica
NCRA14 (Blattella germanica)	protein		NCRA14	protein	Blattella germanica
NCRA15 (Blattella germanica)	protein		NCRA15	protein	Blattella germanica
NCRA16 (Blattella germanica)	protein		NCRA16	protein	Blattella germanica
NCRA2 (Blattella germanica)	protein		NCRA2	protein	Blattella germanica
NCRA3 (Blattella germanica)	protein		NCRA3	protein	Blattella germanica
NCRA4 (Blattella germanica)	protein		NCRA4	protein	Blattella germanica
NCRA5 (Blattella germanica)	protein		NCRA5	protein	Blattella germanica
NCRA6 (Blattella germanica)	protein		NCRA6	protein	Blattella germanica
NCRA7 (Blattella germanica)	protein		NCRA7	protein	Blattella germanica
NCRA8 (Blattella germanica)	protein		NCRA8	protein	Blattella germanica
NCRA9 (Blattella germanica)	protein		NCRA9	protein	Blattella germanica
NEDD4-binding protein 2 (Homo sapiens)	protein	BCL-3-binding protein	NEDD4-binding protein 2	protein	Homo sapiens
Nephrin brain isoform (Mus musculus)	protein		Nephrin brain isoform	protein	Mus musculus
neural cell adhesion molecule 1 (Rattus norvegicus)	protein	Fibronectin|N-CAM 1	neural cell adhesion molecule 1	protein	Rattus norvegicus
Neuraminidase (Influenza A virus)	protein		Neuraminidase	protein	Influenza A virus
neuronal acetylcholine receptor subunit alpha-9 (Homo sapiens)	protein	CHRNA9	neuronal acetylcholine receptor subunit alpha-9	protein	Homo sapiens
neutrophil cytosol factor 4 (Homo sapiens)	protein	NCF-4	neutrophil cytosol factor 4	protein	Homo sapiens
NF-kappa-B (Mus musculus)	protein	Nuclear factor NF-kappa-B|Nuclear factor of kappa	NF-kappa-B	protein	Mus musculus
nicotinate phosphoribosyltransferase (Coxiella burnetii)	protein		nicotinate phosphoribosyltransferase	protein	Coxiella burnetii
nicotinic acetylcholine receptor (Rattus norvegicus)	protein	AChR	nicotinic acetylcholine receptor	protein	Rattus norvegicus
NIMA-related kinase 11L (Homo sapiens)	protein	NIMA; never in mitosis gene a	NIMA-related kinase 11L	protein	Homo sapiens
non-POU domain containing, octamer-binding (Danio rerio)	protein	nono	non-POU domain containing, octamer-binding	protein	Danio rerio
non-protein coding region (Homo sapiens)	protein	cryptic source|non-protein coding region of the human genome	non-protein coding region	protein	Homo sapiens
Non-receptor tyrosine-protein kinase TYK2 (Homo sapiens)	protein		Non-receptor tyrosine-protein kinase TYK2	protein	Homo sapiens
non-structural protein (Muscovy duck parvovirus)	protein	NS1	non-structural protein	protein	Muscovy duck parvovirus
non-structural protein 1 (NS1) (Zika virus)	protein	NS1	non-structural protein 1 (NS1)	protein	Zika virus
non-structural V protein (Avian avulavirus 1)	protein		non-structural V protein	protein	Avian avulavirus 1
nonstructural protein NS4 (African horse sickness virus)	protein	NS4	nonstructural protein NS4	protein	African horse sickness virus
nuclear cap-binding protein (Plasmodium berghei)	protein		nuclear cap-binding protein	protein	Plasmodium berghei
nuclear pore membrane glycoprotein 210 (Homo sapiens)	protein	nuclear pore protein gp210	nuclear pore membrane glycoprotein 210	protein	Homo sapiens
nuclear receptor ROR-gamma isoform X1 (Homo sapiens)	protein		nuclear receptor ROR-gamma isoform X1	protein	Homo sapiens
nuclear receptor subfamily 1 group D member 1 neoepitope protein (Homo sapiens)	protein	NR1D1	nuclear receptor subfamily 1 group D member 1 neoepitope protein	protein	Homo sapiens
nucleocapsid protein (Canine morbillivirus)	protein		nucleocapsid protein	protein	Canine morbillivirus
nucleocapsid protein (Small ruminant morbillivirus)	protein		nucleocapsid protein	protein	Small ruminant morbillivirus
Nucleocapsid protein (Vladivostok virus)	protein		Nucleocapsid protein	protein	Vladivostok virus
Nucleoprotein (Brazilian mammarenavirus)	protein	Nucleocapsid protein|Protein N	Nucleoprotein	protein	Brazilian mammarenavirus
nucleoprotein (Duvenhage lyssavirus)	protein		nucleoprotein	protein	Duvenhage lyssavirus
Nucleoprotein (Feline infectious peritonitis virus)	protein	NC|Nucleocapsid protein|Protein N	Nucleoprotein	protein	Feline infectious peritonitis virus
Nucleoprotein (Guanarito mammarenavirus)	protein	Nucleocapsid protein|Protein N	Nucleoprotein	protein	Guanarito mammarenavirus
Nucleoprotein (Influenza A virus)	protein	NP	Nucleoprotein	protein	Influenza A virus
Nucleoprotein (Lassa virus Josiah)	protein	Nucleocapsid protein|Protein N	Nucleoprotein	protein	Lassa virus Josiah
Nucleoprotein (Lelystad virus)	protein	Nucleocapsid protein|Protein N	Nucleoprotein	protein	Lelystad virus
Nucleoprotein (Lymphocytic choriomeningitis mammarenavirus)	protein	Nucleocapsid protein|Protein N	Nucleoprotein	protein	Lymphocytic choriomeningitis mammarenavirus
Nucleoprotein (Murine hepatitis virus)	protein	NC|Nucleocapsid protein|Protein N	Nucleoprotein	protein	Murine hepatitis virus
Nucleoprotein (Puumala orthohantavirus)	protein	Nucleocapsid protein|Protein N	Nucleoprotein	protein	Puumala orthohantavirus
Nucleoprotein (Rabies lyssavirus)	protein	NP|Nucleocapsid protein|Protein N	Nucleoprotein	protein	Rabies lyssavirus
Nucleoprotein (Rinderpest virus)	protein	NP|Nucleocapsid protein|Protein N	Nucleoprotein	protein	Rinderpest morbillivirus
Nucleoprotein (Severe acute respiratory syndrome-related coronavirus)	protein	NC|Nucleocapsid protein|Protein N	Nucleoprotein	protein	Severe acute respiratory syndrome-related coronavirus
Nucleoprotein (Murine respirovirus)	protein	NP|Nucleocapsid protein|Protein N	Nucleoprotein	protein	Murine respirovirus
